combined_name,group_id,artifact_id,latest_release,release_count,releases_with_cves,total_releases_cve_count,low_severity_count,moderate_severity_count,high_severity_count,critical_severity_count,unknown_severity_count
com.h2database:h2,com.h2database,h2,2.3.232,139,134,246,0,0,12,234,0
com.hubspot.jinjava:jinjava,com.hubspot.jinjava,jinjava,2.7.2,90,79,144,0,144,0,0,0
com.googlecode.wicket-jquery-ui:wicket-jquery-ui-parent,com.googlecode.wicket-jquery-ui,wicket-jquery-ui-parent,9.18.0,117,72,136,0,136,0,0,0
com.ibeetl:beetl,com.ibeetl,beetl,3.17.0.RELEASE,150,133,133,0,0,0,133,0
com.guicedee.services:log4j-core,com.guicedee.services,log4j-core,1.2.2.1-jre17,364,362,362,0,0,0,362,0
com.googlecode.guava-osgi:guava-osgi,com.googlecode.guava-osgi,guava-osgi,11.0.1,11,11,11,0,11,0,0,0
com.google.oauth-client:google-oauth-client,com.google.oauth-client,google-oauth-client,1.36.0,53,48,100,0,0,100,0,0
com.google.protobuf:protobuf-kotlin-lite,com.google.protobuf,protobuf-kotlin-lite,4.28.0,86,83,116,0,33,83,0,0
com.google.guava:guava,com.google.guava,guava,33.3.0-jre,130,108,272,108,164,0,0,0
com.google.protobuf:protobuf-javalite,com.google.protobuf,protobuf-javalite,4.28.0,131,126,341,0,75,266,0,0
com.googlecode.plist:dd-plist,com.googlecode.plist,dd-plist,1.28,16,5,5,0,0,5,0,0
com.google.protobuf:protobuf-parent,com.google.protobuf,protobuf-parent,4.28.0,151,10,10,0,0,10,0,0
com.gradle:gradle-enterprise-maven-extension,com.gradle,gradle-enterprise-maven-extension,1.22,112,36,36,0,0,36,0,0
com.google.protobuf:protobuf-kotlin,com.google.protobuf,protobuf-kotlin,4.28.0,86,83,120,0,33,87,0,0
com.googlecode.aviator:aviator,com.googlecode.aviator,aviator,5.4.3,65,7,7,0,0,0,7,0
com.helger.commons:ph-json,com.helger.commons,ph-json,11.1.6,30,21,21,0,0,21,0,0
com.guicedee.services:commons-text,com.guicedee.services,commons-text,1.2.2.1-jre17,446,445,445,0,0,0,445,0
com.ibeetl:beetl-core,com.ibeetl,beetl-core,3.17.0.RELEASE,21,15,15,0,0,0,15,0
com.google.guava:guava-jdk5,com.google.guava,guava-jdk5,17.0,8,8,8,0,8,0,0,0
com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer,com.googlecode.owasp-java-html-sanitizer,owasp-java-html-sanitizer,20240325.1,39,35,46,11,0,0,35,0
com.google.crypto.tink:tink,com.google.crypto.tink,tink,1.14.1,29,17,17,17,0,0,0,0
com.google.protobuf:protobuf-java,com.google.protobuf,protobuf-java,4.28.0,164,159,611,0,108,503,0,0
com.graphql-java:graphql-java,com.graphql-java,graphql-java,0.0.0-2024-08-26T05-18-23-435de80,1219,673,1442,0,0,1442,0,0
com.hccake:ballcat-codegen,com.hccake,ballcat-codegen,0.0.1,1,1,1,0,0,1,0,0
com.jamesmurty.utils:java-xmlbuilder,com.jamesmurty.utils,java-xmlbuilder,1.3,7,5,5,0,0,0,5,0
com.itextpdf:itext7-core,com.itextpdf,itext7-core,8.0.5,40,26,100,0,76,0,24,0
com.itextpdf:itextpdf,com.itextpdf,itextpdf,5.5.13.4,35,33,62,0,0,29,33,0
com.intuit.karate:karate-core,com.intuit.karate,karate-core,1.4.1,146,4,4,0,0,4,0,0
com.jason-goodwin:authentikat-jwt_2.12,com.jason-goodwin,authentikat-jwt_2.12,0.4.5,2,2,2,0,0,0,2,0
com.jfinal:jfinal,com.jfinal,jfinal,5.2.1,73,60,1805,0,670,1063,72,0
com.jcraft:jsch,com.jcraft,jsch,0.1.55,24,22,22,0,22,0,0,0
com.jayway.jsonpath:json-path,com.jayway.jsonpath,json-path,2.9.0,23,7,7,0,7,0,0,0
com.jamonapi:jamon,com.jamonapi,jamon,2.82,11,8,8,0,8,0,0,0
com.jflyfox:jflyfox_jfinal,com.jflyfox,jflyfox_jfinal,4.5.0,11,11,77,0,22,11,44,0
com.liferay:com.liferay.sass.compiler.jsass,com.liferay,com.liferay.sass.compiler.jsass,1.0.1,2,1,1,0,1,0,0,0
com.liferay.portal:release.portal.bom,com.liferay.portal,release.portal.bom,7.4.3.120,142,132,1522,0,735,164,623,0
com.liferay.portal:com.liferay.portal.kernel,com.liferay.portal,com.liferay.portal.kernel,148.0.0,1095,568,568,0,0,0,568,0
com.liferay.portal:portal-impl,com.liferay.portal,portal-impl,6.2.5,26,25,25,0,0,25,0,0
com.jsoniter:jsoniter,com.jsoniter,jsoniter,0.9.23,22,22,22,0,0,22,0,0
com.liferay:com.liferay.portal.tools.bundle.support,com.liferay,com.liferay.portal.tools.bundle.support,3.7.6,38,19,19,0,19,0,0,0
com.kitfox.svg:svg-salamander,com.kitfox.svg,svg-salamander,1.0,1,1,1,0,0,1,0,0
com.liferay.portal:release.dxp.bom,com.liferay.portal,release.dxp.bom,2024.q2.11,319,252,998,0,190,23,785,0
com.liferay.portal:portal-service,com.liferay.portal,portal-service,6.2.5,26,25,25,0,0,25,0,0
com.manydesigns:portofino-dispatcher,com.manydesigns,portofino-dispatcher,5.3.4,16,10,10,0,0,0,10,0
com.linecorp.armeria:armeria-saml,com.linecorp.armeria,armeria-saml,1.30.0,128,116,116,0,0,0,116,0
com.manydesigns:portofino,com.manydesigns,portofino,4.2.12,35,31,31,0,0,31,0,0
com.microsoft.commondatamodel:objectmodel,com.microsoft.commondatamodel,objectmodel,1.7.6,37,33,33,0,33,0,0,0
com.lowagie:itext,com.lowagie,itext,4.2.2,21,21,21,0,0,21,0,0
com.mchange:c3p0,com.mchange,c3p0,0.10.1,34,23,45,0,0,23,22,0
com.microsoft.azure:msal4j,com.microsoft.azure,msal4j,1.17.0,56,2,2,0,2,0,0,0
com.linecorp.armeria:armeria,com.linecorp.armeria,armeria,1.30.0,243,220,316,0,91,225,0,0
com.linecorp.centraldogma:centraldogma-server,com.linecorp.centraldogma,centraldogma-server,0.69.1,122,108,215,0,107,0,108,0
com.manydesigns:portofino-core,com.manydesigns,portofino-core,5.3.4,16,10,10,0,0,0,10,0
com.microsoft.azure:azure-eventhubs,com.microsoft.azure,azure-eventhubs,3.3.0,54,50,50,0,0,50,0,0
com.linecorp.centraldogma:centraldogma-server-auth-saml,com.linecorp.centraldogma,centraldogma-server-auth-saml,0.69.1,102,90,90,0,0,0,90,0
com.mapbox.mapboxsdk:mapbox-android-core,com.mapbox.mapboxsdk,mapbox-android-core,4.0.0,23,23,23,0,0,23,0,0
com.nimbusds:nimbus-jose-jwt,com.nimbusds,nimbus-jose-jwt,9.40,278,266,736,106,0,473,157,0
com.mtvi.plateng.hudson:ldapemail,com.mtvi.plateng.hudson,ldapemail,0.1,6,6,6,6,0,0,0,0
com.monitorjbl:xlsx-streamer,com.monitorjbl,xlsx-streamer,2.2.0,20,18,18,0,0,0,18,0
com.nablarch.framework:nablarch-fw-web,com.nablarch.framework,nablarch-fw-web,2.1.0,19,7,7,0,0,0,7,0
com.ning:async-http-client,com.ning,async-http-client,1.9.40,126,85,170,0,170,0,0,0
com.neovisionaries:nv-websocket-client,com.neovisionaries,nv-websocket-client,2.14,47,33,33,0,33,0,0,0
com.mikesamuel:json-sanitizer,com.mikesamuel,json-sanitizer,1.2.3,6,4,11,0,3,4,4,0
com.netflix.conductor:conductor-core,com.netflix.conductor,conductor-core,3.15.0,338,226,226,0,0,0,226,0
com.netflix.hollow:hollow,com.netflix.hollow,hollow,7.11.5,232,154,154,0,154,0,0,0
com.netflix.priam:priam,com.netflix.priam,priam,4.1.13,271,134,134,0,134,0,0,0
com.mysql:mysql-connector-j,com.mysql,mysql-connector-j,9.0.0,8,4,4,0,0,4,0,0
com.netflix.genie:genie-web,com.netflix.genie,genie-web,4.3.19,223,221,221,0,0,0,221,0
com.nepxion:discovery,com.nepxion,discovery,6.22.0,442,433,866,0,433,0,433,0
com.networknt:light-oauth2,com.networknt,light-oauth2,2.1.30,31,29,29,0,29,0,0,0
com.opensymphony:xwork,com.opensymphony,xwork,2.1.3,8,4,4,0,4,0,0,0
com.predic8:soa-model-core,com.predic8,soa-model-core,2.0.1,12,9,9,0,0,0,9,0
com.progsbase.libraries:JSON,com.progsbase.libraries,JSON,0.4.0,3,3,3,0,0,3,0,0
com.predic8:soa-model-parent,com.predic8,soa-model-parent,2.0.1,9,6,6,0,0,0,6,0
com.pubnub:pubnub-kotlin,com.pubnub,pubnub-kotlin,9.2.4,45,29,29,0,29,0,0,0
com.rabbitmq:amqp-client,com.rabbitmq,amqp-client,5.21.0,138,134,225,0,225,0,0,0
com.owlike:genson,com.owlike,genson,1.6,21,21,21,0,0,21,0,0
