group,name,version,github_url,stars,forks,open_issues,contributors,watchers,downloads,dependencies,license,documentation,test_code,build_status,vulnerabilities,badges,website,releases,closed_issues,commit_frequency,usage
dnsjava,dnsjava,3.5.0,https://github.com/dnsjava/dnsjava,927,239,13,34,45,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",,,,0,,,70,326,0,
edu.gemini,gsp-graphql-core_2.13,0.0.1,https://github.com/gemini-hlsw/gsp-graphql,176,25,22,27,19,0,0,Apache License 2.0,,,,0,,http://typelevel.org/grackle/,50,639,0,
fr.turri,aXMLRPC,1.8.2,https://github.com/gturri/aXMLRPC,145,74,3,15,22,0,0,MIT License,,,,0,,www.timroes.de,0,142,0,
io.airlift,aircompressor,0.3,http://github.com/airlift/aircompressor/tree/master,568,113,18,22,28,0,0,Apache License 2.0,,,,0,,,3,230,0,
io.antmedia,ant-media-server,1.2.0,https://github.com/ant-media/Ant-Media-Server.git,4248,624,1174,53,101,0,0,Other,,,,0,,https://antmedia.io,59,4973,0,
io.arrow-kt,arrow-ank-gradle,0.8.0,https://github.com/arrow-kt/arrow/,6162,444,42,277,92,0,0,Other,,,,0,,http://arrow-kt.io,50,3308,0,
io.digdag,digdag-server,0.10.0,https://github.com/treasure-data/digdag,1305,221,118,118,131,0,0,Apache License 2.0,,,,0,,https://www.digdag.io/,107,1709,0,
io.fusionauth,fusionauth-java-client,1.37.0,https://github.com/FusionAuth/fusionauth-java-client,12,5,3,22,13,0,0,Apache License 2.0,,,,0,,https://fusionauth.io,0,41,0,
io.github.javaezlib,JavaEZ,1.6,https://github.com/JavaEZLib/JavaEZ,0,0,0,2,1,0,0,MIT License,,,,0,,,8,1,0,
io.github.classgraph,classgraph,4.0.0-beta-11,https://github.com/classgraph/classgraph,2742,288,25,81,85,0,0,MIT License,,,,0,,,420,824,0,
io.github.skylot,jadx-core,1.3.1,https://github.com/skylot/jadx,41179,4830,400,127,822,0,0,Apache License 2.0,,,,0,,,29,1874,0,
io.github.karlatemp,unsafe-accessor,1.4.0,https://github.com/Karlatemp/UnsafeAccessor,22,5,1,1,4,0,0,MIT License,,,,0,,https://karlatemp.github.io/blog-me/reflect/0.index.html,6,0,0,
io.github.talelin,lin-cms-core,0.0.1-RC1,https://github.com/TaleLin/lin-cms-java-core,41,24,3,5,6,0,0,MIT License,,,,0,,,0,25,0,
io.gitlab.arturbosch.detekt,detekt-core,1.0.0.RC7-3,https://github.com/arturbosch/detekt,6240,767,192,297,60,0,0,Apache License 2.0,,,,0,,https://detekt.dev,115,7228,0,
io.gravitee.apim,gravitee-api-management,3.8.6,https://github.com/gravitee-io/gravitee-api-management,179,46,14,154,27,0,0,Apache License 2.0,,,,0,,https://www.gravitee.io/products/api-management,0,9384,0,
io.hawt,project,1.0,https://github.com/hawtio/hawtio.git,1413,540,33,149,115,0,0,Apache License 2.0,,,,0,,https://hawt.io/,78,3601,0,
io.grpc,grpc-protobuf,0.7.0,https://github.com/grpc/grpc-java,11395,3833,514,374,520,0,0,Apache License 2.0,,,,0,,https://grpc.io/docs/languages/java/,169,11055,0,
io.kubernetes,client-java,0.1,https://github.com/kubernetes-client/java,3551,1892,41,175,106,0,0,Apache License 2.0,,,,0,,http://kubernetes.io/,46,3677,0,
io.ktor,ktor-server-cio,1.0.0-rc,https://github.com/ktorio/ktor.git,12862,1042,159,328,181,0,0,Apache License 2.0,,,,0,,https://ktor.io,76,4209,0,
io.netty,netty-parent,4.0.0.Final,https://github.com/netty/netty,33351,15898,606,788,1741,0,0,Apache License 2.0,,,,0,,http://netty.io,0,13569,0,
io.pebbletemplates,pebble,2.5.0,https://github.com/PebbleTemplates/pebble.git,1094,166,77,96,44,0,0,"BSD 3-Clause ""New"" or ""Revised"" License",,,,0,,https://pebbletemplates.io,62,605,0,
io.projectreactor.netty,reactor-netty-core,1.0.0,https://github.com/reactor/reactor-netty,2576,642,55,121,108,0,0,Apache License 2.0,,,,0,,https://projectreactor.io,166,3392,0,
io.pivotal.spring.cloud,spring-cloud-sso-connector,2.1.2.RELEASE,https://github.com/pivotal-cf/spring-cloud-sso-connector/,12,14,13,19,55,0,0,Apache License 2.0,,,,0,,,8,9,0,
io.ratpack,ratpack-session,0.9.0,https://github.com/ratpack/ratpack,1939,396,216,170,109,0,0,Other,,,,0,,https://ratpack.io,69,1505,0,
io.quarkus,quarkus-project,3.1.0.Final,https://github.com/quarkusio/quarkus,13642,2645,2581,1175,260,0,0,Apache License 2.0,,,,0,,https://quarkus.io,336,38739,0,
io.strimzi,strimzi,0.9.0,https://github.com/strimzi/strimzi-kafka-operator,4793,1278,109,270,98,0,0,Apache License 2.0,,,,0,,https://strimzi.io/,141,8428,0,
io.socket,socket.io-client,0.6.1,https://github.com/socketio/socket.io-client-java,5328,974,113,24,190,0,0,Other,,,,0,,https://socketio.github.io/socket.io-client-java/installation.html,6,655,0,
io.vertx,vertx-core,4.4.5,https://github.com/eclipse/vert.x.git,14265,2075,320,262,529,0,0,Other,,,,0,,http://vertx.io,0,5009,0,
io.whitesource,curekit,1.0.1,https://github.com/whitesource/curekit/,8,8,0,6,7,0,0,Apache License 2.0,,,,0,,https://cure.whitesource.io,7,17,0,
