groupId,artifactId,version,githubUrl
io.gravitee.apim,gravitee-api-management,3.8.6,https://github.com/gravitee-io/gravitee-api-management
io.hawt,project,1.0,https://github.com/hawtio/hawtio.git
io.grpc,grpc-protobuf,0.7.0,https://github.com/grpc/grpc-java
io.kubernetes,client-java,0.1,https://github.com/kubernetes-client/java
io.ktor,ktor-server-cio,1.0.0-rc,https://github.com/ktorio/ktor.git
io.netty,netty-parent,4.0.0.Final,https://github.com/netty/netty
io.pebbletemplates,pebble,2.5.0,https://github.com/PebbleTemplates/pebble.git
io.projectreactor.netty,reactor-netty-core,1.0.0,https://github.com/reactor/reactor-netty
io.pivotal.spring.cloud,spring-cloud-sso-connector,2.1.2.RELEASE,https://github.com/pivotal-cf/spring-cloud-sso-connector/
io.ratpack,ratpack-session,0.9.0,https://github.com/ratpack/ratpack
io.quarkus,quarkus-project,3.1.0.Final,https://github.com/quarkusio/quarkus
io.strimzi,strimzi,0.9.0,https://github.com/strimzi/strimzi-kafka-operator
io.socket,socket.io-client,0.6.1,https://github.com/socketio/socket.io-client-java
io.vertx,vertx-core,4.4.5,https://github.com/eclipse/vert.x.git
io.whitesource,curekit,1.0.1,https://github.com/whitesource/curekit/
io.undertow,undertow-parent,1.0.0.Alpha1,https://github.com/undertow-io/undertow
junit,junit,4.7,http://github.com/KentBeck/junit/tree/master
ml.combust.mleap,mleap-runtime_2.12,0.14.0,https://github.com/combust/mleap.git
ml.shifu,shifu,0.10.0,https://github.com/shifuml/shifu.git
net.bramp.ffmpeg,ffmpeg,0.1,https://github.com/bramp/ffmpeg-cli-wrapper
net.mingsoft,ms-basic,1.0.0,https://github.com/ming-soft/ms-basic
net.opentsdb,opentsdb,2.2.0RC1,https://github.com/OpenTSDB/opentsdb
net.mingsoft,ms-mcms,4.6.3-SNAPSHOTS,https://github.com/ming-soft/mcms
net.pwall.json,jsonutil,2.0,https://github.com/pwall567/jsonutil.git
net.sf.sojo,sojo,1.0.5,http://github.com/maddingo/sojo
net.sourceforge.plantuml,plantuml-mit,1.2023.7,https://github.com/plantuml/plantuml
net.snowflake,snowflake-jdbc,2.8.0,http://github.com/snowflakedb/snowflake-jdbc/tree/master
nl.basjes.parse.useragent,yauaa-beam-sql,7.0.0,https://github.com/nielsbasjes/yauaa
org.apache.atlas,apache-atlas,1.0.0-alpha,https://github.com/apache/atlas.git
org.apache.ambari,ambari,1.7.0.0,https://github.com/apache/ambari
org.apache.archiva,archiva,2.2.0,https://github.com/apache/archiva
org.apache.druid,druid,0.13.0-incubating,https://github.com/apache/incubator-druid.git
org.apache.druid,druid,0.17.0,https://github.com/apache/druid.git
org.apache.dubbo,dubbo-parent,2.7.0,https://github.com/apache/incubator-dubbo
org.apache.eventmesh,eventmesh-connector-rabbitmq,1.7.0-release,https://github.com/apache/incubator-eventmesh
org.apache.dolphinscheduler,dolphinscheduler,1.2.0,https://github.com/apache/incubator-dolphinscheduler
org.apache.dolphinscheduler,dolphinscheduler,3.0.0,https://github.com/apache/dolphinscheduler
org.apache.inlong,inlong,1.1.0-incubating,https://github.com/apache/incubator-inlong
org.apache.inlong,inlong,1.4.0,https://github.com/apache/inlong
org.apache.heron,heron-simulator,0.20.1-incubating-rc2,https://github.com/apache/incubator-heron.git
org.apache.guacamole,guacamole-common,0.9.10-incubating,https://github.com/apache/incubator-guacamole-client
org.apache.linkis,linkis,1.0.3,https://github.com/apache/incubator-linkis
org.apache.iotdb,iotdb-parent,0.8.0,https://github.com/apache/incubator-iotdb
org.apache.seatunnel,seatunnel-web,1.0.0,https://github.com/apache/seatunnel-web
org.apache.pulsar,pulsar,1.19.0-incubating,https://github.com/apache/incubator-pulsar
org.apache.openmeetings,openmeetings-parent,4.0.0,https://github.com/apache/openmeetings/tree/4.0.0RC2
org.apache.rocketmq,rocketmq-all,4.5.2,https://github.com/apache/rocketmq.git
org.apache.servicecomb,java-chassis,1.0.0,https://github.com/apache/incubator-servicecomb-java-chassis
org.apache.shenyu,shenyu,2.4.0,https://github.com/apache/incubator-shenyu
org.apache.streampipes,streampipes-parent,0.66.0,https://github.com/apache/incubator-streampipes
org.apache.shardingsphere,shardingsphere,4.0.0-RC3,https://github.com/apache/incubator-shardingsphere.git
org.bedework,bw-webdav,4.0.1,https://github.com/Bedework/bw-webdav
org.bouncycastle,bctls-jdk15to18,1.63,https://github.com/bcgit/bc-java
org.boofcv,boofcv-core,0.27,https://github.com/lessthanoptimal/BoofCV
org.biscuitsec,biscuit,3.0.0,https://github.com/biscuit-auth/biscuit-java.git
org.bonitasoft.console,bonita-web-server,9.0.0,http://github.com/bonitasoft/bonita-engine
org.bedework.caleng,bw-calendar-engine,3.12.0,https://github.com/Bedework/bw-calendar-engine
org.checkerframework.annotatedlib,commons-io,2.6,https://github.com/typetools/commons-io.git
org.clojure,clojure,1.7.0,https://github.com/clojure/clojure.git
org.codehaus.groovy,groovy,2.0.0,https://github.com/groovy/groovy-core.git
org.cloudfoundry.identity,cloudfoundry-identity-server,3.0.0,https://github.com/cloudfoundry/uaa
org.codelibs.fess,fess,10.3.0-beta1,https://github.com/codelibs/fess
org.cyclonedx,cyclonedx-core-java,2.1.0,https://github.com/CycloneDX/cyclonedx-core-java.git
org.dom4j,dom4j,2.0.0-RC1,https://github.com/dom4j/dom4j.git
org.eclipse.edc,transfer-data-plane,0.5.0,https://github.com/eclipse-edc/Connector.git
org.eclipse.parsson,project,1.0.0,https://github.com/eclipse-ee4j/parsson
org.eclipse.ditto,ditto,3.0.0,https://github.com/eclipse/ditto.git
org.eclipse.lyo,lyo-parent,4.0.0.RC,https://github.com/eclipse/lyo
org.elasticsearch,elasticsearch-hadoop,0.8.0,http://github.com/elasticsearch/elasticsearch
org.eclipse.rdf4j,rdf4j,2.0M1,https://github.com/eclipse/rdf4j
org.elasticsearch,elasticsearch,7.0.0,https://github.com/elastic/elasticsearch.git
org.graylog,graylog-parent,2.2.0-alpha.1,https://github.com/Graylog2/graylog2-server
org.http4s,http4s-async-http-client_2.13,0.21.0-M1,https://github.com/http4s/http4s
org.htmlunit,htmlunit,3.0.0,https://github.com/HtmlUnit/htmlunit
org.http4s,blaze-core_2.13,0.14.5,https://github.com/http4s/blaze
org.hjson,hjson,1.0.0,https://github.com/laktak/hjson-java
org.iq80.snappy,snappy,0.1,http://github.com/dain/snapy/tree/master
org.jbpm.jbpm5,jbpmmigration,0.11,https://github.com/dr oolsjbpm/jbpmmigration
org.java-websocket,Java-WebSocket,1.3.0,https://github.com/TooTallNate/Java-WebSocket.git
org.javadelight,delight-nashorn-sandbox,0.0.8,https://github.com/javadelight/delight-nashorn-sandbox
org.jodd,jodd-http,5.0.0,https://github.com/oblac/jodd
org.jline,jline-parent,3.2.0,http://github.com/jline/jline3
org.jetbrains.kotlin,kotlin-stdlib,0.0.1-test-deploy,https://github.com/JetBrains/kotlin.git
org.jitsi,dnssecjava,1.0,https://github.com/ibauersachs/dnssecjava
org.jeasy,easy-rules-mvel,4.1.0,https://github.com/j-easy/easy-rules.git
org.keycloak,keycloak-parent,1.0-alpha-1-12062013,http://github.com/keycloak/keycloak/tree/master/
org.keycloak,keycloak-parent,9.0.0,https://github.com/keycloak/keycloak/tree/master/
org.jsoup,jsoup,0.2.1b,http://github.com/jhy/jsoup
org.mitre,openid-connect-parent,0.9.0,https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server.git
org.matrix.android,matrix-android-sdk2,0.0.2,https://github.com/matrix-org/matrix-android-sdk2
org.mongodb,mongodb-driver,3.11.0,https://github.com/mongodb/mongo-java-driver
org.mock-server,mockserver,1.2,https://github.com/jamesdbloom/mockservice.git
org.mule.runtime,mule,4.0.0-BETA.4,https://github.com/mulesoft/mule
org.neo4j,neo4j-enterprise,3.4.0,https://github.com/neo4j/neo4j
org.noear,solon,1.0.1,https://github.com/noear/solon
org.ngrinder,ngrinder-core,3.5.2,https://github.com/naver/ngrinder
org.neo4j.procedure,apoc-core,5.0.0,http://github.com/neo4j/apoc
org.neo4j.procedure,apoc,1.0.0-RC1,https://github.com/neo4j-contrib/neo4j-apoc-procedures
org.openapitools,openapi-generator-project,3.0.0,https://github.com/openapitools/openapi-generator
org.opencastproject,base,6.6,https://github.com/opencast/opencast/
org.opencrx,opencrx-core-config,4.3.0,https://github.com/opencrx/opencrx/tree/master
org.opencms,opencms-core,8.0.3,https://github.com/alkacon/opencms-core.git
org.openrefine,main,3.6-beta1,http://github.com/OpenRefine/OpenRefine
org.opensearch.plugin,opensearch-security,2.1.0.0,https://github.com/opensearch-project/security.git
org.opennms,opennms,31.0.3,https://github.com/OpenNMS/opennms
org.postgresql,postgresql,9.2-1002-jdbc4,https://github.com/pgjdbc/pgjdbc.git
org.opensearch,opensearch,1.0.0,https://github.com/opensearch-project/OpenSearch.git
org.postgresql,postgresql,9.4.1212.jre7,https://github.com/pgjdbc/pgjdbc-jre7
org.owasp,dependency-check-ant,9.0.0,https://github.com/jeremylong/DependencyCheck/tree/main/ant
org.owasp,dependency-check-cli,9.0.0,https://github.com/jeremylong/DependencyCheck/tree/main/cli
org.owasp,csrfguard,3.0.0,https://github.com/esheri3/OWASP-CSRFGuard
org.powernukkit,powernukkit,1.1.1.0-PN,https://github.com/PowerNukkit/PowerNukkit
org.postgresql,pgjdbc-aggregate,9.4.1207,https://github.com/pgjdbc/pgjdbc
org.owasp,dependency-check-maven,9.0.0,https://github.com/jeremylong/DependencyCheck/tree/master/maven
org.rundeck,rundeck,4.13.0-20230515,https://github.com/rundeck/rundeck
org.rundeck,rundeck-core,1.4.4,https://github.com/dtolabs/rundeck
org.scala-sbt,sbt,0.99.2,https://github.com/sbt/sbt
org.scala-sbt,io_3,1.6.0-M2,https://github.com/sbt/io
org.scala-lang,scala-library,2.13.0,https://github.com/scala/scala.git
org.springframework.boot,spring-boot-starter-webflux,2.0.0.RELEASE,http://github.com/spring-projects/spring-boot/spring-boot-starters/spring-boot-starter-webflux
org.springframework.boot,spring-boot-loader-classic,3.2.0,https://github.com/spring-projects/spring-boot
org.sonatype.nexus.ci,nexus-jenkins-plugin,1.2.20170404-163441.794de4c,https://github.com/jenkinsci/nexus-platform-plugin
org.springframework.batch,spring-batch-core,4.0.0.RELEASE,https://github.com/spring-projects/spring-batch
org.springframework.boot,spring-boot-actuator-autoconfigure,2.0.0.RELEASE,http://github.com/spring-projects/spring-boot/spring-boot-actuator-autoconfigure
org.soot-oss,soot,4.1.0,https://github.com/soot-oss/soot
org.springframework.amqp,spring-amqp,2.2.0.RELEASE,https://github.com/spring-projects/spring-amqp
org.springframework.integration,spring-integration-core,4.3.0.RELEASE,https://github.com/spring-projects/spring-integration
org.springframework,spring-framework-bom,4.0.0.RELEASE,https://github.com/SpringSource/spring-framework
org.springframework,spring-webflux,5.0.0.RELEASE,https://github.com/spring-projects/spring-framework
org.springframework.integration,spring-integration-zip,1.0.0.RELEASE,https://github.com/spring-projects/spring-integration-extensions
org.testng,testng,6.13,http://github.com/cbeust/testng
org.springframework.security,spring-security-oauth2-authorization-server,0.2.0,https://github.com/spring-projects/spring-security
org.springframework.data,spring-data-rest-core,1.0.0.RELEASE,http://github.com/SpringSource/spring-data-rest
org.springframework.session,spring-session-core,3.0.0,https://github.com/spring-projects/spring-session
org.springframework.cloud,spring-cloud-function-context,1.0.0.RELEASE,https://github.com/spring-cloud/spring-cloud-build/spring-cloud-function-parent/spring-cloud-function-context
org.springframework.hateoas,spring-hateoas,0.1.0.RELEASE,https://github.com/SpringSource/spring-hateoas
org.springframework.credhub,spring-credhub-core,1.0.0.RELEASE,https://github.com/spring-projects/spring-credhub
org.springframework.cloud,spring-cloud-gateway,1.0.0.RELEASE,https://github.com/spring-cloud-incubator/spring-cloud-gateway
org.springframework.cloud,spring-cloud-gateway,2.2.0.RELEASE,https://github.com/spring-cloud/spring-cloud-gateway
org.springframework.webflow,spring-webflow,2.4.0.RELEASE,https://github.com/SpringSource/spring-webflow
org.springframework.data,spring-data-jpa,1.0.0.RELEASE,https://github.com/SpringSource/spring-data-jpa
org.springframework.kafka,spring-kafka,2.8.0,https://github.com/spring-projects/spring-kafka
org.springframework.cloud,spring-cloud-netflix,2.1.0.RELEASE,https://github.com/spring-cloud/spring-cloud-netflix
org.springframework.cloud,spring-cloud-openfeign-core,2.2.0.RELEASE,https://github.com/spring-cloud/spring-cloud-openfeign/spring-cloud-openfeign-core
org.springframework.graphql,spring-graphql,1.1.0,https://github.com/spring-projects/spring-graphql
org.torpedoquery,org.torpedoquery,1.2.0,https://github.com/xjodoin/torpedoquery
org.typelevel,grackle-core_2.13,0.15.0,https://github.com/typelevel/grackle
org.webjars.bower,angular,1.3.14,https://github.com/angular/bower-angular
org.vivoweb,vitro-project,1.9.0-alpha-1,https://github.com/vivo-project/Vitro.git
org.webjars.bowergithub.wycats,handlebars.js,4.1.1,https://github.com/wycats/handlebars.js
org.webjars.npm,bootstrap,3.3.5,https://github.com/twbs/bootstrap
org.webjars.npm,dicer,0.2.5,https://github.com/mscdex/dicer
org.webjars.npm,angular,1.3.15,https://github.com/angular/angular.js
org.webjars.bowergithub.vaadin,vaadin-menu-bar,1.0.0,https://github.com/vaadin/vaadin-menu-bar
org.webjars.npm,dset,3.0.0,https://github.com/lukeed/dset
org.webjars.npm,jquery,1.11.3,https://github.com/jquery/jquery
org.webjars.npm,json,9.0.6,https://github.com/trentm/json
org.webjars.npm,jquery-ui,1.10.4,https://github.com/jquery/jquery-ui
org.webjars.npm,jquery,1.7.3,https://github.com/UncoolAJ86/node-jquery
org.webjars.npm,thenify,3.1.0,https://github.com/thenables/thenify
